,beta,HR (95% CI for HR),wald.test,p.value
ADAT3,0.25,1.3 (1-1.6),4.2,0.041
SH3BGRL,-0.8,0.45 (0.21-0.97),4.1,0.042
DNAH6,0.16,1.2 (1-1.4),4.1,0.042
CDH26,0.3,1.3 (1-1.8),4.1,0.042
ADPRHL1,-0.25,0.77 (0.61-0.99),4.1,0.042
SUMO2,-0.98,0.38 (0.15-0.97),4.1,0.043
RNF130,0.43,1.5 (1-2.3),4.1,0.043
PHC2,0.54,1.7 (1-2.9),4.1,0.043
NODAL,0.21,1.2 (1-1.5),4.1,0.043
NDST1,-0.55,0.58 (0.34-0.98),4.1,0.043
GCSH,-0.39,0.68 (0.47-0.99),4.1,0.043
C22orf26,-0.35,0.7 (0.5-0.99),4.1,0.043
ACTG1,0.61,1.8 (1-3.3),4.1,0.043
ZNF563,0.54,1.7 (1-2.9),4,0.044
PSMD2,1.1,3 (1-8.7),4.1,0.044
PLIN5,0.16,1.2 (1-1.4),4,0.044
LOC144486,-0.34,0.71 (0.51-0.99),4.1,0.044
HP,0.13,1.1 (1-1.3),4.1,0.044
EIF1AX,-0.63,0.53 (0.29-0.98),4,0.044
CXorf21,0.18,1.2 (1-1.4),4.1,0.044
CLEC2B,0.24,1.3 (1-1.6),4.1,0.044
C14orf49,0.32,1.4 (1-1.9),4,0.044
AGAP3,-0.53,0.59 (0.35-0.98),4.1,0.044
ABAT,-0.34,0.71 (0.51-0.99),4.1,0.044
TMBIM6,0.86,2.4 (1-5.5),4,0.045
STX12,-0.81,0.44 (0.2-0.98),4,0.045
PTGDS,-0.16,0.85 (0.73-1),4,0.045
NCKAP1,-0.71,0.49 (0.25-0.99),4,0.045
MYST2,-0.59,0.55 (0.31-0.99),4,0.045
LRRC7,-0.15,0.86 (0.74-1),4,0.045
ESRP2,0.5,1.7 (1-2.7),4,0.045
BCL2A1,0.14,1.2 (1-1.3),4,0.045
PAPOLA,0.77,2.2 (1-4.6),4,0.046
H3F3B,-0.53,0.59 (0.35-0.99),4,0.046
FAM151B,0.43,1.5 (1-2.3),4,0.046
DTNA,0.37,1.5 (1-2.1),4,0.046
COL6A3,0.15,1.2 (1-1.3),4,0.046
C17orf91,0.31,1.4 (1-1.8),4,0.046
ATP1B2,0.37,1.5 (1-2.1),4,0.046
ANKRD23,-0.37,0.69 (0.48-0.99),4,0.046
ADAMTSL3,-0.19,0.82 (0.68-1),4,0.046
THRAP3,0.65,1.9 (1-3.7),4,0.047
SPC25,0.17,1.2 (1-1.4),3.9,0.047
SEMA6A,-0.44,0.64 (0.42-0.99),3.9,0.047
PIWIL4,0.17,1.2 (1-1.4),4,0.047
MYH7B,-0.2,0.82 (0.67-1),3.9,0.047
INHA,-0.28,0.75 (0.57-1),3.9,0.047
FOXD4L2,-0.25,0.78 (0.61-1),3.9,0.047
FOS,0.15,1.2 (1-1.3),3.9,0.047
C1orf97,0.38,1.5 (1-2.1),3.9,0.047
BAALC,-0.24,0.79 (0.62-1),3.9,0.047
VWA5B2,-0.16,0.85 (0.73-1),3.9,0.048
SFRS3,-0.83,0.44 (0.19-0.99),3.9,0.048
RNF213,0.46,1.6 (1-2.5),3.9,0.048
NOXA1,-0.21,0.81 (0.66-1),3.9,0.048
LOC100128788,-0.35,0.7 (0.49-1),3.9,0.048
FLJ35390,0.18,1.2 (1-1.4),3.9,0.048
CD84,0.17,1.2 (1-1.4),3.9,0.048
C6orf142,-0.13,0.88 (0.77-1),3.9,0.048
ARPC2,0.89,2.4 (1-5.9),3.9,0.048
AOC2,-0.28,0.76 (0.58-1),3.9,0.048
RANGAP1,-0.56,0.57 (0.33-1),3.9,0.049
LRRC66,0.19,1.2 (1-1.5),3.9,0.049
KCNMB2,-0.14,0.87 (0.76-1),3.9,0.049
CDV3,-0.73,0.48 (0.23-1),3.9,0.049
C8orf48,0.33,1.4 (1-1.9),3.9,0.049
ATP6V1A,-0.5,0.61 (0.37-1),3.9,0.049
WNT5B,-0.29,0.75 (0.56-1),3.8,0.05
TTC9B,-0.14,0.87 (0.75-1),3.8,0.05
KCNMB3,0.35,1.4 (1-2),3.8,0.05
ITGA11,0.26,1.3 (1-1.7),3.8,0.05
HLA.J,0.31,1.4 (1-1.9),3.8,0.05
GNAS,-0.98,0.37 (0.14-1),3.8,0.05
EPPK1,0.22,1.2 (1-1.6),3.8,0.05
CALB1,-0.13,0.88 (0.78-1),3.8,0.05
USP47,-0.66,0.52 (0.27-1),3.8,0.051
TNFSF4,0.44,1.6 (1-2.4),3.8,0.051
RPS9,-0.45,0.64 (0.41-1),3.8,0.051
KLHDC7B,0.16,1.2 (1-1.4),3.8,0.051
IPO5,-0.82,0.44 (0.19-1),3.8,0.051
GIPC2,-0.27,0.76 (0.58-1),3.8,0.051
ASTN1,-0.34,0.71 (0.51-1),3.8,0.051
RGS9BP,-0.29,0.75 (0.56-1),3.8,0.052
PCP4,0.14,1.2 (1-1.3),3.8,0.052
NOMO1,-0.57,0.57 (0.32-1),3.8,0.052
CLIP3,-0.4,0.67 (0.45-1),3.8,0.052
C9orf96,-0.45,0.64 (0.4-1),3.8,0.052
C4orf47,0.18,1.2 (1-1.4),3.8,0.052
SOX18,0.17,1.2 (1-1.4),3.7,0.053
RNF10,0.98,2.7 (0.99-7.1),3.8,0.053
RDH11,-0.68,0.5 (0.25-1),3.8,0.053
LOC389333,0.23,1.3 (1-1.6),3.8,0.053
IL12A,-0.21,0.81 (0.66-1),3.8,0.053
ABCC6P2,-0.26,0.77 (0.59-1),3.7,0.053
TMEM106A,0.21,1.2 (1-1.5),3.7,0.054
STMN1,-0.35,0.7 (0.49-1),3.7,0.054
SLC13A4,0.13,1.1 (1-1.3),3.7,0.054
SLC10A4,0.16,1.2 (1-1.4),3.7,0.054
MMP23B,0.23,1.3 (1-1.6),3.7,0.054
MEGF8,0.38,1.5 (0.99-2.2),3.7,0.054
LOC643008,0.18,1.2 (1-1.5),3.7,0.054
JAK1,-0.46,0.63 (0.4-1),3.7,0.054
COX7A1,0.17,1.2 (1-1.4),3.7,0.054
MPV17L,0.25,1.3 (1-1.7),3.7,0.055
GRAMD2,0.19,1.2 (1-1.5),3.7,0.055
CUX1,-0.59,0.56 (0.31-1),3.7,0.055
CMTM7,0.22,1.3 (1-1.6),3.7,0.055
ZNF717,-0.31,0.73 (0.53-1),3.6,0.056
S1PR1,-0.3,0.74 (0.55-1),3.7,0.056
PICALM,0.61,1.8 (0.99-3.5),3.7,0.056
MYL6,0.45,1.6 (0.99-2.5),3.7,0.056
C2orf84,-0.34,0.71 (0.5-1),3.7,0.056
RAB9B,-0.27,0.76 (0.58-1),3.6,0.057
NME2P1,0.19,1.2 (0.99-1.5),3.6,0.057
LOC648740,-0.21,0.81 (0.65-1),3.6,0.057
LOC645323,-0.32,0.72 (0.52-1),3.6,0.057
IL1RN,0.13,1.1 (1-1.3),3.6,0.057
HIST1H4J,0.21,1.2 (0.99-1.5),3.6,0.057
BREA2,-0.33,0.72 (0.51-1),3.6,0.057
ADRB2,-0.21,0.81 (0.65-1),3.6,0.057
SNX19,-0.59,0.55 (0.3-1),3.6,0.058
SCARB2,-0.65,0.52 (0.27-1),3.6,0.058
RBKS,0.4,1.5 (0.99-2.3),3.6,0.058
PRDX6,0.26,1.3 (0.99-1.7),3.6,0.058
PLIN1,-0.16,0.85 (0.72-1),3.6,0.058
LOC100129716,0.34,1.4 (0.99-2),3.6,0.058
FLJ22536,0.27,1.3 (0.99-1.7),3.6,0.058
ATP2C2,-0.15,0.86 (0.74-1),3.6,0.058
WLS,0.29,1.3 (0.99-1.8),3.6,0.059
SMTNL2,-0.22,0.8 (0.63-1),3.6,0.059
RRN3P3,0.34,1.4 (0.99-2),3.6,0.059
PRLR,0.26,1.3 (0.99-1.7),3.6,0.059
NEBL,-0.24,0.79 (0.61-1),3.6,0.059
HNRNPC,-0.78,0.46 (0.2-1),3.6,0.059
C17orf44,0.37,1.4 (0.99-2.1),3.6,0.059
AHRR,0.26,1.3 (0.99-1.7),3.6,0.059
PUM2,-0.86,0.42 (0.17-1),3.6,0.06
PPP1R9B,-0.65,0.52 (0.26-1),3.5,0.06
NACA2,-0.3,0.74 (0.54-1),3.5,0.06
KLF9,-0.28,0.75 (0.56-1),3.5,0.06
CPNE2,-0.42,0.65 (0.42-1),3.5,0.06
CARD9,0.18,1.2 (0.99-1.5),3.5,0.06
CADM1,0.38,1.5 (0.98-2.2),3.6,0.06
C8orf73,0.25,1.3 (0.99-1.7),3.6,0.06
ARF3,-0.53,0.59 (0.34-1),3.5,0.06
HAAO,0.24,1.3 (0.99-1.6),3.5,0.061
DLEU2,0.34,1.4 (0.98-2),3.5,0.061
COL14A1,0.13,1.1 (0.99-1.3),3.5,0.061
CBX1,-0.79,0.45 (0.2-1),3.5,0.061
C10orf111,-0.32,0.72 (0.52-1),3.5,0.061
ARPC4,0.7,2 (0.97-4.2),3.5,0.061
ARID1A,0.51,1.7 (0.98-2.9),3.5,0.061
TMEM123,0.49,1.6 (0.98-2.7),3.5,0.062
FAM186A,-0.34,0.71 (0.5-1),3.5,0.062
CCT4,-0.88,0.41 (0.16-1),3.5,0.062
C6orf122,0.3,1.3 (0.99-1.8),3.5,0.062
ZFAND5,-0.56,0.57 (0.31-1),3.4,0.063
RBM3,-0.49,0.61 (0.36-1),3.4,0.063
POTEF,0.14,1.2 (0.99-1.3),3.4,0.063
NHLH1,0.16,1.2 (0.99-1.4),3.5,0.063
DDB1,-0.86,0.42 (0.17-1),3.4,0.063
RPL14,-0.48,0.62 (0.37-1),3.4,0.064
MYO5A,-0.3,0.74 (0.54-1),3.4,0.064
GOLGA2B,0.2,1.2 (0.99-1.5),3.4,0.064
FEZ1,-0.44,0.64 (0.4-1),3.4,0.064
EWSR1,-1.1,0.35 (0.11-1.1),3.4,0.064
CTSD,0.4,1.5 (0.98-2.3),3.4,0.064
C7,0.16,1.2 (0.99-1.4),3.4,0.064
ZSCAN12P1,0.13,1.1 (0.99-1.3),3.4,0.065
PRH1,-0.44,0.64 (0.4-1),3.4,0.065
DLG4,-0.3,0.74 (0.54-1),3.4,0.065
B4GALNT3,0.15,1.2 (0.99-1.4),3.4,0.065
ARAP1,0.65,1.9 (0.96-3.8),3.4,0.065
AKR7A3,0.22,1.2 (0.99-1.6),3.4,0.065
PPM1G,0.73,2.1 (0.95-4.5),3.4,0.066
P704P,0.18,1.2 (0.99-1.4),3.4,0.066
MTCP1,0.37,1.5 (0.97-2.2),3.4,0.066
KIAA0195,-0.68,0.51 (0.24-1),3.4,0.066
KCNK13,0.19,1.2 (0.99-1.5),3.4,0.066
IP6K1,-0.55,0.58 (0.32-1),3.4,0.066
FEM1B,-0.68,0.51 (0.25-1),3.4,0.066
EIF5B,-0.55,0.57 (0.32-1),3.4,0.066
C20orf165,-0.3,0.74 (0.54-1),3.4,0.066
ASB16,0.34,1.4 (0.98-2),3.4,0.066
ZNF121,0.33,1.4 (0.98-2),3.4,0.067
PAQR8,-0.23,0.8 (0.62-1),3.3,0.067
MRGPRF,0.16,1.2 (0.99-1.4),3.4,0.067
LOC100303728,-0.41,0.67 (0.43-1),3.4,0.067
KIF5C,-0.24,0.78 (0.6-1),3.4,0.067
ZNF382,0.44,1.6 (0.97-2.5),3.3,0.068
SPDYE7P,0.32,1.4 (0.98-1.9),3.3,0.068
RDX,0.46,1.6 (0.97-2.6),3.3,0.068
NFE2L1,0.46,1.6 (0.97-2.6),3.3,0.068
BRI3BP,0.33,1.4 (0.98-2),3.3,0.068
TSC2,-0.68,0.51 (0.24-1.1),3.3,0.069
ODF3B,0.16,1.2 (0.99-1.4),3.3,0.069
IGSF10,0.2,1.2 (0.98-1.5),3.3,0.069
DEPDC4,-0.36,0.7 (0.47-1),3.3,0.069
CBX3,0.51,1.7 (0.96-2.9),3.3,0.069
C19orf23,0.37,1.5 (0.97-2.2),3.3,0.069
ZNF792,0.4,1.5 (0.97-2.3),3.3,0.07
PPARG,0.22,1.2 (0.98-1.6),3.3,0.07
LOC286367,0.2,1.2 (0.98-1.5),3.3,0.07
KIAA0319L,0.65,1.9 (0.95-3.9),3.3,0.07
KEAP1,-0.85,0.43 (0.17-1.1),3.3,0.07
ARHGDIA,0.64,1.9 (0.95-3.8),3.3,0.07
STAC3,0.23,1.3 (0.98-1.6),3.3,0.071
SPDYE6,0.26,1.3 (0.98-1.7),3.3,0.071
LRPPRC,-0.59,0.56 (0.29-1.1),3.3,0.071
GPX1,0.31,1.4 (0.97-1.9),3.2,0.071
DYX1C1,0.31,1.4 (0.97-1.9),3.3,0.071
VMAC,0.48,1.6 (0.96-2.7),3.2,0.072
TEX9,-0.2,0.82 (0.66-1),3.2,0.072
MFI2,0.23,1.3 (0.98-1.6),3.2,0.072
HNRNPA3,-0.8,0.45 (0.19-1.1),3.2,0.072
GEMIN8P4,0.36,1.4 (0.97-2.1),3.2,0.072
DEGS2,-0.23,0.79 (0.62-1),3.2,0.072
ARID3B,0.47,1.6 (0.96-2.7),3.2,0.072
MALL,0.23,1.3 (0.98-1.6),3.2,0.073
DCLK1,-0.19,0.83 (0.67-1),3.2,0.073
CXCL5,-0.12,0.89 (0.78-1),3.2,0.073
CAND1,0.57,1.8 (0.95-3.3),3.2,0.073
BAT2L2,0.67,2 (0.94-4.1),3.2,0.073
TBX18,0.2,1.2 (0.98-1.5),3.2,0.074
SORL1,-0.28,0.76 (0.56-1),3.2,0.074
PCDHB6,0.16,1.2 (0.98-1.4),3.2,0.074
LOC342346,-0.29,0.75 (0.54-1),3.2,0.074
GNA12,0.41,1.5 (0.96-2.4),3.2,0.074
CCNI2,-0.29,0.75 (0.55-1),3.2,0.074
ADH5,0.67,2 (0.94-4.1),3.2,0.074
SCRN1,0.37,1.5 (0.96-2.2),3.2,0.075
MT3,0.18,1.2 (0.98-1.5),3.2,0.075
DARC,0.19,1.2 (0.98-1.5),3.2,0.075
ZNF565,0.52,1.7 (0.95-3),3.2,0.076
ST6GAL1,0.29,1.3 (0.97-1.8),3.2,0.076
RNH1,-0.57,0.57 (0.3-1.1),3.1,0.076
RAD21,-0.59,0.56 (0.29-1.1),3.1,0.076
LOC643719,-0.29,0.75 (0.55-1),3.2,0.076
DLK2,-0.2,0.82 (0.66-1),3.1,0.076
CDC14C,0.31,1.4 (0.97-1.9),3.2,0.076
C4orf39,-0.18,0.83 (0.68-1),3.1,0.076
ASB14,-0.29,0.75 (0.54-1),3.2,0.076
AP1G1,1.1,3.1 (0.89-11),3.2,0.076
PRR7,0.23,1.3 (0.98-1.6),3.1,0.077
ESRRB,0.24,1.3 (0.98-1.6),3.1,0.077
ATP6AP2,0.7,2 (0.93-4.4),3.1,0.077
ARF1,0.9,2.5 (0.91-6.7),3.1,0.077
VIPR1,-0.14,0.87 (0.74-1),3.1,0.078
STAG3,0.31,1.4 (0.97-1.9),3.1,0.078
PLXNB3,-0.26,0.77 (0.57-1),3.1,0.078
MESTIT1,-0.16,0.85 (0.71-1),3.1,0.078
LACE1,-0.42,0.66 (0.41-1),3.1,0.078
FMO4,0.31,1.4 (0.97-1.9),3.1,0.078
ELOVL5,0.51,1.7 (0.94-3),3.1,0.078
ADAM6,0.078,1.1 (0.99-1.2),3.1,0.078
ZNF547,0.37,1.5 (0.96-2.2),3.1,0.079
TMEM200A,-0.14,0.87 (0.74-1),3.1,0.079
SLC48A1,-0.37,0.69 (0.45-1),3.1,0.079
PUM1,0.61,1.8 (0.93-3.7),3.1,0.079
MS4A14,0.19,1.2 (0.98-1.5),3.1,0.079
MMP25,0.16,1.2 (0.98-1.4),3.1,0.079
LAMP2,0.41,1.5 (0.95-2.4),3.1,0.079
CYP2D7P1,-0.19,0.83 (0.67-1),3.1,0.079
C1orf104,-0.33,0.72 (0.5-1),3.1,0.079
NOXO1,0.31,1.4 (0.96-1.9),3.1,0.08
CORO2A,0.16,1.2 (0.98-1.4),3.1,0.08
ACTB,0.52,1.7 (0.94-3),3.1,0.08
TOP2B,-0.63,0.53 (0.26-1.1),3,0.081
TMEM102,0.26,1.3 (0.97-1.7),3,0.081
RPS17,-0.36,0.69 (0.46-1),3,0.081
RNF138P1,0.48,1.6 (0.94-2.8),3,0.081
MEGF6,0.17,1.2 (0.98-1.4),3,0.081
GPAT2,0.16,1.2 (0.98-1.4),3,0.081
GJA4,0.21,1.2 (0.97-1.6),3,0.081
DGCR11,-0.38,0.69 (0.45-1),3,0.081
ABR,-0.37,0.69 (0.46-1),3,0.081
TUBB4,-0.19,0.82 (0.66-1),3,0.082
RUNDC2A,0.29,1.3 (0.96-1.9),3,0.082
MB,-0.17,0.84 (0.69-1),3,0.082
LYPLA2P1,0.39,1.5 (0.95-2.3),3,0.082
CIZ1,-0.73,0.48 (0.21-1.1),3,0.082
ATP6V1F,0.5,1.6 (0.94-2.9),3,0.082
UBTF,-0.81,0.44 (0.18-1.1),3,0.083
KIAA0513,-0.25,0.78 (0.59-1),3,0.083
DDX23,0.71,2 (0.91-4.5),3,0.083
CSDE1,0.49,1.6 (0.94-2.9),3,0.083
TRPV4,0.23,1.3 (0.97-1.6),3,0.084
SYNPO2L,-0.17,0.84 (0.69-1),3,0.084
AHNAK,-0.23,0.8 (0.61-1),3,0.084
VASH1,0.41,1.5 (0.94-2.4),3,0.085
RASAL3,0.18,1.2 (0.98-1.5),3,0.085
OTUB2,-0.3,0.74 (0.53-1),3,0.085
MTMR9L,-0.23,0.79 (0.61-1),3,0.085
IRAK1,0.47,1.6 (0.94-2.7),3,0.085
COMT,-0.53,0.59 (0.32-1.1),3,0.085
CD33,0.18,1.2 (0.97-1.5),3,0.085
CCDC47,0.78,2.2 (0.9-5.3),3,0.085
TRIM9,-0.35,0.7 (0.47-1.1),3,0.086
TMED10,0.55,1.7 (0.93-3.2),3,0.086
SMC1A,0.41,1.5 (0.94-2.4),2.9,0.086
PKD1,0.38,1.5 (0.95-2.3),3,0.086
KIF21A,0.36,1.4 (0.95-2.2),3,0.086
CENPB,0.56,1.7 (0.92-3.3),3,0.086
STIP1,0.63,1.9 (0.91-3.8),2.9,0.087
RNF40,0.73,2.1 (0.9-4.8),2.9,0.087
RBM9,-0.35,0.71 (0.47-1.1),2.9,0.087
PARP1,0.45,1.6 (0.94-2.6),2.9,0.087
LOC100133957,0.33,1.4 (0.95-2.1),2.9,0.087
KBTBD8,0.35,1.4 (0.95-2.1),2.9,0.087
FLJ13197,0.3,1.3 (0.96-1.9),2.9,0.087
CG030,-0.28,0.76 (0.55-1),2.9,0.087
C5orf13,-0.3,0.74 (0.53-1),2.9,0.087
AQP11,-0.48,0.62 (0.36-1.1),2.9,0.087
WEE2,-0.27,0.76 (0.56-1),2.9,0.088
TSSK6,0.32,1.4 (0.95-2),2.9,0.088
TM9SF2,0.62,1.9 (0.91-3.8),2.9,0.088
SNAP25,-0.095,0.91 (0.82-1),2.9,0.088
RAN,0.76,2.1 (0.89-5.1),2.9,0.088
ERGIC3,0.63,1.9 (0.91-3.9),2.9,0.088
C5AR1,0.14,1.2 (0.98-1.4),2.9,0.088
ZSCAN18,0.41,1.5 (0.94-2.4),2.9,0.089
PHOSPHO1,0.2,1.2 (0.97-1.5),2.9,0.089
HESX1,0.26,1.3 (0.96-1.7),2.9,0.089
EIF4G3,0.49,1.6 (0.93-2.9),2.9,0.089
CIC,0.44,1.6 (0.93-2.6),2.9,0.089
CCDC17,-0.23,0.79 (0.61-1),2.9,0.089
C17orf60,0.17,1.2 (0.97-1.4),2.9,0.089
LOC647121,0.23,1.3 (0.97-1.6),2.9,0.09
IGSF8,-0.4,0.67 (0.43-1.1),2.9,0.09
GRRP1,0.22,1.2 (0.97-1.6),2.9,0.09
C22orf9,-0.39,0.68 (0.43-1.1),2.9,0.09
ALDH8A1,-0.2,0.82 (0.65-1),2.9,0.09
POLR2E,0.77,2.2 (0.88-5.2),2.9,0.091
ENC1,0.11,1.1 (0.98-1.3),2.9,0.091
DCTN1,-0.53,0.59 (0.32-1.1),2.8,0.091
CRHBP,-0.12,0.89 (0.78-1),2.8,0.091
TLL2,0.13,1.1 (0.98-1.3),2.8,0.092
TAOK3,-0.57,0.56 (0.29-1.1),2.8,0.092
RPS8,-0.3,0.74 (0.53-1),2.8,0.092
OAZ2,-0.64,0.52 (0.25-1.1),2.8,0.092
MDH2,0.53,1.7 (0.92-3.1),2.8,0.092
MDH1B,0.26,1.3 (0.96-1.7),2.8,0.092
FAM83H,-0.19,0.82 (0.66-1),2.8,0.092
CDKN2BAS,-0.19,0.82 (0.66-1),2.8,0.092
CCR10,0.22,1.2 (0.96-1.6),2.8,0.092
ANKRD37,-0.37,0.69 (0.45-1.1),2.8,0.092
VPS26B,-0.68,0.51 (0.23-1.1),2.8,0.093
PAIP2,-0.84,0.43 (0.16-1.2),2.8,0.093
LRG1,0.18,1.2 (0.97-1.5),2.8,0.093
LOC645166,0.23,1.3 (0.96-1.7),2.8,0.093
LOC339524,0.17,1.2 (0.97-1.5),2.8,0.093
CDK5RAP3,-0.48,0.62 (0.35-1.1),2.8,0.093
C7orf63,0.2,1.2 (0.97-1.5),2.8,0.093
C1QTNF4,-0.14,0.87 (0.74-1),2.8,0.093
ARMCX3,-0.61,0.54 (0.27-1.1),2.8,0.093
SND1,-0.55,0.58 (0.3-1.1),2.8,0.094
RLTPR,-0.13,0.88 (0.75-1),2.8,0.094
NRN1L,-0.26,0.77 (0.57-1),2.8,0.094
GAA,0.43,1.5 (0.93-2.5),2.8,0.094
CNTNAP3,0.2,1.2 (0.97-1.5),2.8,0.094
C1orf101,0.26,1.3 (0.96-1.7),2.8,0.094
UQCRC1,-0.46,0.63 (0.37-1.1),2.8,0.095
UBA1,0.82,2.3 (0.87-5.9),2.8,0.095
SLC44A1,-0.3,0.74 (0.52-1.1),2.8,0.095
PVRIG,0.24,1.3 (0.96-1.7),2.8,0.095
LOC643387,0.56,1.7 (0.91-3.4),2.8,0.095
FIGNL2,0.22,1.2 (0.96-1.6),2.8,0.095
C6orf124,-0.2,0.82 (0.65-1),2.8,0.095
TGM1,-0.18,0.84 (0.68-1),2.8,0.096
SPRYD3,-0.38,0.68 (0.44-1.1),2.8,0.096
MAP4K4,-0.5,0.61 (0.34-1.1),2.8,0.096
FLOT1,0.55,1.7 (0.91-3.3),2.8,0.096
C4orf3,-0.55,0.58 (0.3-1.1),2.8,0.096
PDZK1P1,-0.38,0.69 (0.44-1.1),2.8,0.097
NCRNA00107,-0.23,0.8 (0.61-1),2.8,0.097
MAPK1,-0.5,0.61 (0.33-1.1),2.8,0.097
LOC26102,-0.27,0.76 (0.56-1.1),2.8,0.097
KLC1,-0.37,0.69 (0.44-1.1),2.8,0.097
KCNMB1,0.18,1.2 (0.97-1.5),2.8,0.097
GRHL1,-0.22,0.81 (0.63-1),2.8,0.097
FNDC8,0.41,1.5 (0.93-2.4),2.8,0.097
C3orf72,0.24,1.3 (0.96-1.7),2.8,0.097
C11orf92,-0.11,0.89 (0.78-1),2.8,0.097
PLAC2,-0.19,0.82 (0.66-1),2.7,0.098
MYADML2,-0.18,0.83 (0.67-1),2.7,0.098
MGC16121,-0.17,0.84 (0.69-1),2.7,0.098
KPNB1,0.69,2 (0.88-4.5),2.8,0.098
CSPG5,-0.17,0.85 (0.7-1),2.7,0.098
CDK2AP1,-0.43,0.65 (0.39-1.1),2.7,0.098
C4orf32,0.24,1.3 (0.96-1.7),2.7,0.098
C2orf15,0.25,1.3 (0.95-1.7),2.7,0.098
C21orf33,-0.72,0.49 (0.21-1.1),2.7,0.098
ATP5B,-0.57,0.57 (0.29-1.1),2.7,0.098
AGRN,0.26,1.3 (0.95-1.8),2.7,0.098
SHISA2,-0.17,0.85 (0.7-1),2.7,0.099
PTP4A1,-0.53,0.59 (0.32-1.1),2.7,0.099
NCOR1,0.6,1.8 (0.89-3.7),2.7,0.099
XRCC6,-0.65,0.52 (0.24-1.1),2.7,0.1
TNRC18,0.36,1.4 (0.93-2.2),2.6,0.1
TFAP2A,0.11,1.1 (0.98-1.3),2.7,0.1
SST,-0.094,0.91 (0.81-1),2.7,0.1
SP6,0.21,1.2 (0.96-1.6),2.7,0.1
SOD1,-0.6,0.55 (0.27-1.1),2.6,0.1
RDH13,0.28,1.3 (0.94-1.9),2.6,0.1
RABEP1,-0.67,0.51 (0.23-1.1),2.7,0.1
PIP5KL1,-0.25,0.78 (0.58-1.1),2.7,0.1
PIP4K2A,-0.24,0.79 (0.59-1.1),2.6,0.1
PCBP2,-0.64,0.53 (0.24-1.1),2.7,0.1
OVGP1,-0.21,0.81 (0.63-1),2.6,0.1
NCRNA00173,-0.21,0.81 (0.62-1),2.6,0.1
MYH3,-0.2,0.82 (0.65-1),2.7,0.1
MYCBP2,-0.29,0.75 (0.53-1.1),2.7,0.1
MIDN,0.36,1.4 (0.93-2.2),2.7,0.1
LOC100134713,0.33,1.4 (0.93-2.1),2.6,0.1
LAPTM5,0.18,1.2 (0.97-1.5),2.7,0.1
INCA1,-0.38,0.68 (0.43-1.1),2.7,0.1
HSPH1,0.27,1.3 (0.95-1.8),2.6,0.1
HHEX,0.21,1.2 (0.96-1.6),2.7,0.1
FKBP8,-0.52,0.6 (0.32-1.1),2.6,0.1
FCRLB,0.23,1.3 (0.95-1.7),2.6,0.1
ETV1,-0.14,0.87 (0.73-1),2.6,0.1
C1orf126,0.19,1.2 (0.96-1.5),2.6,0.1
C16orf74,0.17,1.2 (0.97-1.5),2.7,0.1
BCL2L1,0.48,1.6 (0.91-2.9),2.7,0.1
ATP13A5,-0.14,0.87 (0.73-1),2.7,0.1
AGAP5,-0.3,0.74 (0.52-1.1),2.7,0.1
ZNF665,0.33,1.4 (0.92-2.1),2.5,0.11
ZNF620,0.49,1.6 (0.89-3),2.5,0.11
ZBTB4,-0.81,0.45 (0.17-1.2),2.6,0.11
USHBP1,-0.23,0.79 (0.6-1.1),2.6,0.11
TPT1,-0.4,0.67 (0.41-1.1),2.6,0.11
TLR5,0.17,1.2 (0.96-1.5),2.5,0.11
ST6GALNAC1,-0.23,0.8 (0.6-1.1),2.5,0.11
SNX1,-0.47,0.62 (0.35-1.1),2.5,0.11
SNTG1,-0.13,0.88 (0.75-1),2.6,0.11
SLC44A2,-0.43,0.65 (0.38-1.1),2.5,0.11
SEC14L1,0.39,1.5 (0.92-2.4),2.6,0.11
RSL1D1,-0.66,0.51 (0.23-1.2),2.6,0.11
ROBO1,-0.17,0.84 (0.68-1),2.5,0.11
REEP5,-0.48,0.62 (0.34-1.1),2.6,0.11
RAB5C,-0.86,0.42 (0.15-1.2),2.5,0.11
PRCP,0.28,1.3 (0.94-1.9),2.6,0.11
PPIB,0.45,1.6 (0.91-2.7),2.6,0.11
PDF,0.34,1.4 (0.93-2.1),2.6,0.11
MPP7,-0.13,0.87 (0.74-1),2.6,0.11
MEIG1,-0.23,0.8 (0.6-1.1),2.6,0.11
MCL1,0.31,1.4 (0.93-2),2.5,0.11
MAPK13,0.16,1.2 (0.97-1.4),2.6,0.11
LOC80054,-0.18,0.83 (0.67-1),2.5,0.11
LOC390595,-0.23,0.79 (0.6-1.1),2.5,0.11
KIDINS220,-0.46,0.63 (0.36-1.1),2.5,0.11
IMMP1L,-0.41,0.66 (0.4-1.1),2.5,0.11
HOMER2,0.24,1.3 (0.94-1.7),2.5,0.11
HINT1,-0.6,0.55 (0.26-1.2),2.5,0.11
HCG26,0.19,1.2 (0.96-1.5),2.6,0.11
FIS1,-0.49,0.61 (0.34-1.1),2.5,0.11
FER,0.24,1.3 (0.95-1.7),2.5,0.11
FBXL5,0.7,2 (0.85-4.7),2.5,0.11
FARP1,-0.25,0.78 (0.57-1.1),2.5,0.11
FAM46C,0.13,1.1 (0.97-1.3),2.5,0.11
EPN1,0.39,1.5 (0.92-2.4),2.6,0.11
